Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,010051,1965,0.0,2.8,6.4,1.5,42.8,98.0,54.1,52.4,17.1,2.8,22.4,2.8,303.1
IDCJAC0001,010051,1966,0.5,12.1,0.0,58.1,4.1,42.9,48.7,12.5,31.7,40.3,0.0,0.0,250.9
IDCJAC0001,010051,1967,83.4,0.0,0.5,19.8,57.3,31.5,47.2,14.4,10.1,5.9,3.6,17.6,291.3
IDCJAC0001,010051,1968,53.9,7.1,53.8,36.7,15.8,157.8,27.4,24.3,33.0,4.1,6.1,0.0,420.0
IDCJAC0001,010051,1969,10.2,0.5,3.6,6.1,25.1,62.3,17.3,4.3,21.6,12.8,2.3,3.3,169.4
IDCJAC0001,010051,1970,0.5,113.1,0.0,34.8,30.5,85.9,19.4,15.3,38.9,8.1,3.8,19.8,370.1
IDCJAC0001,010051,1971,15.2,14.4,130.3,4.0,9.4,24.9,28.6,41.3,14.1,24.6,19.3,0.8,326.9
IDCJAC0001,010051,1972,0.0,22.4,8.9,2.8,16.1,70.0,75.5,17.5,29.7,2.3,9.4,1.0,255.6
IDCJAC0001,010051,1973,15.0,11.2,10.7,13.7,25.1,45.8,72.5,28.5,35.4,0.0,22.7,0.0,280.6
IDCJAC0001,010051,1974,6.8,1.0,33.2,50.3,99.0,39.0,59.4,47.3,46.0,20.4,8.2,4.0,414.6
IDCJAC0001,010051,1975,0.0,2.4,37.8,72.2,27.6,33.2,33.6,32.8,12.6,57.6,2.0,12.8,324.6
IDCJAC0001,010051,1976,5.4,18.8,0.0,30.8,19.0,11.6,16.4,30.6,17.6,38.4,null,null,null
IDCJAC0001,010051,1978,0.0,10.6,18.2,9.2,18.0,19.0,70.2,35.0,53.0,25.0,0.0,0.0,258.2
